date,Open_Price,High_Price,Low_Price,Volume,Close_Price
08/28/2019,1178,1178,1164.25,30911,1168.62
08/29/2019,1170,1172,1150,67995,1161.18
08/30/2019,1169,1169,1151.22,53818,1166.14
09-03-2019,1164.95,1165,1142,78793,1145.17
09-04-2019,1160,1160,1140.01,69044,1148.9
09-05-2019,1148.9,1156.99,1143,97243,1149.79
09-06-2019,1155,1161.55,1150.35,32980,1159.7
09-09-2019,1164.95,1168,1152.35,53487,1164.34
09-11-2019,1169.94,1171,1150.06,64718,1167.84
09-12-2019,1174,1174,1162.22,62713,1164.44
09/13/2019,1169,1174.5,1160,46108,1173.11
09/16/2019,1172,1172,1158.7,36860,1164.03
09/17/2019,1169.85,1169.95,1144.4,54522,1146.64
09/18/2019,1147.11,1153,1145.65,57675,1148.16
09/19/2019,1148.67,1148.67,1131.11,86355,1135.2
09/20/2019,1141.95,1206,1132,401711,1195.47
09/23/2019,1205,1236.5,1205,300945,1230.02
09/24/2019,1229.98,1242,1222.11,119775,1226.89
09/25/2019,1232.95,1232.95,1210.5,52967,1213.59
09/26/2019,1217.44,1229.2,1214.03,502340,1227.61
09/27/2019,1227.6,1238,1216.32,162384,1220.94
09/30/2019,1224.45,1224.5,1208,134108,1215.67
10-01-2019,1217.95,1223.9,1191.8,97147,1205.03
10-03-2019,1211.99,1212,1193.7,56157,1198.44
10-04-2019,1207.9,1207.9,1180,269438,1182.15
10-07-2019,1186.3,1260,1174.05,387129,1175.69
10-09-2019,1183.01,1195.84,1170.06,51865,1194.27
10-10-2019,1191.95,1193.19,1180,52284,1185.39
10-11-2019,1189,1198.8,1184,56743,1197.36
10/14/2019,1200,1205.5,1194.5,34018,1198.93
10/15/2019,1208,1211.9,1195.1,39619,1208.73
10/16/2019,1213.5,1214.72,1207.45,117627,1209.47
10/17/2019,1211.4,1228,1207.7,57285,1224.8
10/18/2019,1227.95,1236.99,1221.98,48775,1234.55
10/22/2019,1220,1237,1201.26,84754,1229.63
10/23/2019,1235,1235,1222.05,30803,1229.95
10/24/2019,1234.94,1235,1222.1,49623,1226.7
10/25/2019,1237.95,1238,1216.05,79682,1225.36
10/27/2019,1240,1240,1228.9,19878,1233.87
10/29/2019,1238.99,1248.19,1230,87693,1246.78
10/30/2019,1250,1256.3,1246.75,87490,1252.87
10/31/2019,1265,1265,1253.61,191913,1254.98
11-01-2019,1254,1263.6,1252.37,44483,1261.41
11-04-2019,1265,1267,1259.05,80355,1263.44
11-05-2019,1265.95,1265.95,1257.14,35932,1260.59
11-06-2019,1264,1268.8,1255,34510,1264.75
11-07-2019,1264.75,1288.88,1263.01,39973,1269.79
11-08-2019,1266.9,1275,1258.76,79178,1260.62
11-11-2019,1262,1266,1255,44586,1264.91
11/13/2019,1270,1270,1255.1,39515,1256.97
11/14/2019,1261.88,1261.88,1249.67,152970,1255.46
11/15/2019,1260,1266.9,1257.18,119054,1260.44
11/18/2019,1266,1266,1256.65,20811,1257.3
11/19/2019,1264.95,1267,1257.3,46392,1263.96
11/20/2019,1269,1274.11,1265.26,110713,1268.33
11/21/2019,1277,1277,1264.96,26955,1266.04
11/22/2019,1266.9,1266.9,1258.5,36776,1264.42
11/25/2019,1271,1278.55,1262,39292,1277.37
11/26/2019,1295,1295,1273.1,43477,1275.1
11/27/2019,1278,1281.9,1277.06,39606,1279.02
11/28/2019,1278,1285,1278,350321,1284.06
11/29/2019,1286,1286,1271.4,51420,1275.13
12-02-2019,1275.13,1294,1273.75,34808,1276.34
12-03-2019,1281.95,1281.95,1268.11,28714,1269.6
12-04-2019,1273,1276.39,1265.1,20458,1274.69
12-05-2019,1270,1281,1267.05,46197,1272.04
12-06-2019,1275.95,1275.95,1261,31043,1262.27
12-09-2019,1271.95,1271.95,1258.25,22655,1263.26
12-10-2019,1263.26,1266.47,1255.95,45663,1257.95
12-11-2019,1263.95,1264.79,1255.4,33778,1262.2
12-12-2019,1255,1272.99,1255,19081,1271.09
12/13/2019,1271.09,1280,1271.04,33899,1279.06
12/16/2019,1285,1285,1274,23033,1275.31
12/17/2019,1282.95,1288,1275.05,46108,1286.16
12/18/2019,1289.95,1294.32,1282.1,21946,1292.54
12/19/2019,129.2,130.33,129.05,271593,130.2
12/20/2019,134.95,134.95,129.78,246690,130.34
12/23/2019,131.2,131.25,129.28,318322,129.93
12/24/2019,130.85,130.85,129.22,422110,129.45
